NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
18564	442	110720	EVT_TRIGGER_CROWBAR_FAIL_FUNC	PRINT.PAR0	PRINT.PAR0	Зайду позже!	Çŕéäó ďîçćĺ!
18565	442	110721	EVT_SECRET_WALLS_FUNC	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Прямо на спуске в скрытый тоннель тупик. Странно. Наверняка это фальш-стена. Может, где-то в часовне или возле нее есть переключатели?	Ďđ˙ěî íŕ ńďóńęĺ â ńęđűňűé ňîííĺëü ňóďčę. Ńňđŕííî. Íŕâĺđí˙ęŕ ýňî ôŕëüř-ńňĺíŕ. Ěîćĺň, ăäĺ-ňî â ÷ŕńîâíĺ čëč âîçëĺ íĺĺ ĺńňü ďĺđĺęëţ÷ŕňĺëč?
18566	442	110722	EVT_TRIRAMARGOT_FUNC	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Трирамар должен быть в этой комнате. Забрав его, можно будет покинуть Этлу и показать его Ксардасу, после чего уже обратиться в мольбе к Белиару.	Ňđčđŕěŕđ äîëćĺí áűňü â ýňîé ęîěíŕňĺ. Çŕáđŕâ ĺăî, ěîćíî áóäĺň ďîęčíóňü Ýňëó č ďîęŕçŕňü ĺăî Ęńŕđäŕńó, ďîńëĺ ÷ĺăî óćĺ îáđŕňčňüń˙ â ěîëüáĺ ę Áĺëčŕđó.
18567	442	110728	B_RING_FINDEN	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Я должен продолжить поиски. Вероятно, кольцо унесло животное.	ß äîëćĺí ďđîäîëćčňü ďîčńęč. Âĺđî˙ňíî, ęîëüöî óíĺńëî ćčâîňíîĺ.
18568	442	110729	B_INSERT_HEILKRAUT	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Я нашел лекарственные водоросли.	ß íŕřĺë ëĺęŕđńňâĺííűĺ âîäîđîńëč.
18569	442	110730	B_SPITZHACKE_GEFUNDEN	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Я нашел лом на дне моря.	ß íŕřĺë ëîě íŕ äíĺ ěîđ˙.
18570	442	110731	B_HERO_SAW_SCAVENGER	B_STARTMISSION.FIRSTNOTE	LOG_ADDENTRY.PAR1	Одно из самых опасных местных животных - кровавый падальщик - преграждает дорогу. Без помощи не обойтись, разве что только я должен стать достаточно сильным, чтобы прикончить эту тварь.	Îäíî čç ńŕěűő îďŕńíűő ěĺńňíűő ćčâîňíűő - ęđîâŕâűé ďŕäŕëüůčę - ďđĺăđŕćäŕĺň äîđîăó. Áĺç ďîěîůč íĺ îáîéňčńü, đŕçâĺ ÷ňî ňîëüęî ˙ äîëćĺí ńňŕňü äîńňŕňî÷íî ńčëüíűě, ÷ňîáű ďđčęîí÷čňü ýňó ňâŕđü.
18571	442	110732	B_HERO_SAW_SCAVENGER	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Без помощи я не смогу продолжить поиски Гарвина.	Áĺç ďîěîůč ˙ íĺ ńěîăó ďđîäîëćčňü ďîčńęč Ăŕđâčíŕ.
18572	442	110733	HERO_SAW_BANDITS	B_STARTMISSION.FIRSTNOTE	LOG_ADDENTRY.PAR1	Похоже, в монастыре хозяйничают бандиты. Я должен пробраться туда и что-то сделать. Но сперва стоит осмотреть островок перед часовней. Возможно, что-то поможет мне.	Ďîőîćĺ, â ěîíŕńňűđĺ őîç˙éíč÷ŕţň áŕíäčňű. ß äîëćĺí ďđîáđŕňüń˙ ňóäŕ č ÷ňî-ňî ńäĺëŕňü. Íî ńďĺđâŕ ńňîčň îńěîňđĺňü îńňđîâîę ďĺđĺä ÷ŕńîâíĺé. Âîçěîćíî, ÷ňî-ňî ďîěîćĺň ěíĺ.
18573	442	110736	EVT_BANDIT_GRAVE_FOUND_FUNC	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Я нашел блюдо и скелет Гарвина.	ß íŕřĺë áëţäî č ńęĺëĺň Ăŕđâčíŕ.
